office,state_po,district,special,ext_D,ext_R,scored_D,scored_R,ideology_gap,year
HOUSE,TX,2,False,0.0,0.0,False,False,0.0,2018
HOUSE,TX,3,False,0.0,0.0,False,False,0.0,2018
HOUSE,TX,4,False,0.0,0.038,False,True,0.038,2018
HOUSE,TX,5,False,0.0,0.0,False,False,0.0,2018
HOUSE,TX,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,TX,7,False,0.0,0.0669999999999999,False,True,0.0669999999999999,2018
HOUSE,TX,8,False,0.0,-0.247,False,True,-0.247,2018
HOUSE,TX,9,False,-0.267,,True,,0.267,2018
HOUSE,TX,10,False,0.0,-0.086,False,True,-0.086,2018
HOUSE,TX,11,False,0.0,0.209,False,True,0.209,2018
HOUSE,TX,12,False,0.0,-0.2259999999999999,False,True,-0.2259999999999999,2018
HOUSE,TX,13,False,0.0,0.02,False,True,0.02,2018
HOUSE,TX,14,False,0.0,-0.133,False,True,-0.133,2018
HOUSE,TX,15,False,-0.376,0.532,True,True,0.908,2018
HOUSE,TX,16,False,0.0,0.0,False,False,0.0,2018
HOUSE,TX,17,False,0.0,0.054,False,True,0.054,2018
HOUSE,TX,18,False,-0.0869999999999999,0.512,True,True,0.599,2018
HOUSE,TX,19,False,0.0,0.185,False,True,0.185,2018
HOUSE,TX,20,False,-0.06,,True,,0.06,2018
HOUSE,TX,21,False,0.0,0.0,False,False,0.0,2018
HOUSE,TX,22,False,0.0,-0.006,False,True,-0.006,2018
HOUSE,TX,23,False,0.0,0.0469999999999999,False,True,0.0469999999999999,2018
