date,state_po,district,held_by,winner,flipped,chamber,special_margin,pres_margin,overperformance,pres_baseline,year
2021-07-13,WI,AD-37,R,R,False,US House,-10.0,-11.0,1.0,2020,2021
2021-07-13,AL,HD-73,R,R,False,US House,-50.0,-34.0,-16.0,2020,2021
2021-08-17,CT,SD-36,D,R,True,US House,-3.0,25.0,-28.0,2020,2021
2021-09-07,NH,HD-Hillsborough-07,R,D,True,state legislature,1.0,3.0,-2.0,2020,2021
2021-09-07,AL,HD-78,D,D,False,US House,60.0,68.0,-8.0,2020,2021
2021-09-14,TN,HD-29,R,R,False,US House,-60.0,-30.0,-30.0,2020,2021
2021-09-14,IA,HD-37,R,R,False,US House,-3.0,-2.0,-1.0,2020,2021
2021-10-12,IA,HD-29,D,R,True,US House,-20.0,-16.0,-4.0,2020,2021
2021-10-27,NH,HD-Cheshire-09,D,D,False,state legislature,31.0,16.0,16.0,2020,2021
2021-11-02,KY,SD-22,R,R,False,US House,-44.0,-36.0,-8.0,2020,2021
2021-11-02,KY,HD-51,R,R,False,US House,-50.0,-58.0,8.0,2020,2021
2021-11-02,KY,HD-89,R,R,False,US House,-56.0,-51.0,-5.0,2020,2021
2021-11-02,ME,HD-86,R,D,True,US House,12.0,9.0,4.0,2020,2021
2021-11-02,MI,SD-08,R,R,False,US House,-24.0,-20.0,-4.0,2020,2021
2021-11-02,MI,SD-28,R,R,False,US House,-24.0,-13.0,-10.0,2020,2021
2021-11-02,OH,OH-15,R,R,False,US House,-17.0,-14.0,-3.0,2020,2021
2021-11-02,OH,OH-11,D,D,False,US House,58.0,61.0,-3.0,2020,2021
2021-11-02,PA,HD-113,D,D,False,US House,41.0,23.0,18.0,2020,2021
2021-11-02,PA,HD-164,D,D,False,US House,61.0,68.0,-7.0,2020,2021
2021-11-02,RI,SD-03,D,D,False,US House,82.0,78.0,4.0,2020,2021
2021-11-02,TX,HD-118,D,R,True,US House,-2.0,14.0,-16.0,2020,2021
2021-11-02,NY,SD-30,D,D,False,US House,83.0,85.0,-3.0,2020,2021
2021-11-13,LA,SD-27,R,R,False,US House,-21.0,-19.0,-2.0,2020,2021
2021-11-30,MA,HD-Essex-04,R,D,True,state legislature,11.0,30.0,-20.0,2020,2021
2021-12-07,NH,HD-Rockingham-06,R,R,False,state legislature,-17.0,-7.0,-11.0,2020,2021
2021-12-14,CT,HD-116,D,D,False,US House,9.0,54.0,-44.0,2020,2021
2021-12-14,IA,SD-01,R,R,False,US House,-51.0,-45.0,-6.0,2020,2021
2022-01-11,VA,HD-89,D,D,False,US House,53.0,68.0,-15.0,2020,2022
2022-01-11,ME,HD-27,D,D,False,US House,19.0,23.0,-4.0,2020,2022
2022-01-11,FL,FL-20,D,D,False,US House,60.0,55.0,4.0,2020,2022
2022-01-18,NY,AD-68,D,D,False,US House,71.0,78.0,-7.0,2020,2022
2022-01-25,CT,HD-144,D,D,False,US House,11.0,25.0,-14.0,2020,2022
2022-02-08,AR,SD-07,R,R,False,US House,-1.0,-14.0,13.0,2020,2022
2022-02-15,NY,AD-72,D,D,False,state legislature,54.0,68.0,-14.0,2020,2022
2022-02-15,NY,AD-60,D,D,False,state legislature,76.0,86.0,-9.0,2020,2022
2022-02-22,KY,HD-42,D,D,False,US House,89.0,75.0,14.0,2020,2022
2022-02-22,CT,HD-71,R,R,False,US House,-47.0,-6.0,-42.0,2020,2022
2022-03-01,CT,HD-05,D,D,False,state legislature,63.0,71.0,-9.0,2020,2022
2022-03-05,DE,HD-04,D,D,False,US House,37.0,42.0,-5.0,2020,2022
2022-03-08,FL,SD-33,D,D,False,US House,62.0,56.0,5.0,2020,2022
2022-03-08,FL,HD-88,D,D,False,US House,61.0,54.0,7.0,2020,2022
2022-03-22,NY,AD-43,D,D,False,state legislature,59.0,77.0,-18.0,2020,2022
2022-03-29,SC,SD-31,R,R,False,US House,-80.0,-19.0,-62.0,2020,2022
2022-04-05,PA,HD-24,D,D,False,US House,88.0,83.0,5.0,2020,2022
2022-04-05,PA,HD-116,R,R,False,state legislature,-31.0,-33.0,2.0,2020,2022
2022-04-07,NY,AD-20,R,R,False,US House,-26.0,-5.0,-20.0,2020,2022
2022-05-03,MI,HD-36,R,R,False,US House,-19.0,-30.0,11.0,2020,2022
2022-05-03,MI,HD-43,R,R,False,US House,-13.0,-12.0,-1.0,2020,2022
2022-05-03,MI,HD-74,R,D,True,US House,11.0,-16.0,27.0,2020,2022
2022-05-03,MI,HD-15,D,D,False,US House,45.0,38.0,8.0,2020,2022
2022-05-03,GA,HD-45,R,R,False,US House,-13.0,1.0,-14.0,2020,2022
2022-05-17,SC,HD-97,R,R,False,US House,-27.0,-19.0,-8.0,2020,2022
2022-05-17,PA,SD-05,D,D,False,US House,13.0,10.0,4.0,2020,2022
2022-05-24,NY,AD-58,D,D,False,state legislature,77.0,91.0,-14.0,2020,2022
