year,state_po,district,dem,rep,winner,winner_side,cand_keys,house_margin,contested,pres_margin,winner_prev,winner_side_prev,incumbent_side,resid_raw
2018,RI,1,116099,57567,DAVID N CICILLINE,D,"['CICILLINE D', 'DONOVAN P', 'WRITEIN']",33.703776214112146,True,26.834381551362682,DAVID N CICILLINE,D,1,6.869394662749464
2018,RI,2,126476,72271,JAMES R LANGEVIN,D,"['LANGEVIN J', 'CAIOZZO S', 'WRITEIN']",27.273367648316704,True,7.465825446898004,JAMES R LANGEVIN,D,1,19.8075422014187
2018,SC,1,145455,141473,JOE CUNNINGHAM,D,"['CUNNINGHAM J', 'ARRINGTON K', 'WRITEIN']",1.3878046060335694,True,-13.95101171458999,MARK SANFORD,R,0,15.33881632062356
2018,SC,2,109199,144642,JOE WILSON,R,"['WILSON J', 'CARRIGAN S', 'NARANG S', 'WRITEIN']",-13.96267742405679,True,-18.65121180189673,JOE WILSON,R,-1,4.688534377839938
2018,SC,3,70046,153338,JEFF DUNCAN,R,"['MOORE D', 'DUNCAN J', 'GEREN M', 'WRITEIN']",-37.2864663539018,True,-39.583333333333336,JEFF DUNCAN,R,-1,2.2968669794315346
2018,SC,4,89182,145321,WILLIAM TIMMONS,R,"['BROWN B', 'FURAY G', 'TIMMONS W', 'WRITEIN']",-23.939565805128293,True,-27.138331573389657,TREY GOWDY,R,0,3.1987657682613637
2018,SC,5,103129,141757,RALPH W NORMAN,R,"['PARNELL A', 'CHANDLER M', 'NORMAN R', 'WRITEIN']",-15.773870290665862,True,-19.250780437044746,MICK MULVANEY,R,0,3.4769101463788843
2018,SC,6,144765,58282,JAMES E JIM CLYBURN,D,"['PUGH B', 'GRESSMANN G', 'CLYBURN J', 'WRITEIN']",42.59260171290391,True,37.59011328527291,JAMES E CLYBURN,D,1,5.002488427630993
2018,SC,7,96564,142681,TOM RICE,R,"['WILLIAMS R', 'RICE T', 'WRITEIN']",-19.276055925933665,True,-19.464469618949536,TOM RICE,R,-1,0.18841369301587108
2018,SD,0,120816,202446,"DUSTIN \""DUSTY\"" JOHNSON",R,"['JOHNSON D', 'HENDRICKSON G', 'WIECZOREK R', 'BJORKMAN T']",-25.251962804165043,True,-31.974248927038627,KRISTI L NOEM,R,0,6.722286122873584
2018,TN,1,47138,172835,PHIL ROE,R,"['OLSEN M', 'SALYER M', 'ROE P']",-57.142012883399325,True,-59.12863070539419,DAVID P ROE,R,0,1.9866178219948623
