year,office,state_po,district,special,asof,outlet,p_dem,rating,rating_them,actual
2018,HOUSE,NC,5,False,sep22,FiveThirtyEight (model),0.0359,Safe R,Safe R,-14.069582894948018
2018,HOUSE,NC,6,False,sep22,FiveThirtyEight (model),0.08495,Likely R,Lean R,-13.032072021381348
2018,HOUSE,NC,7,False,sep22,FiveThirtyEight (model),0.01345,Safe R,Likely R,-12.955659524504137
2018,HOUSE,NC,8,False,sep22,FiveThirtyEight (model),0.0496,Safe R,Likely R,-10.67740029195252
2018,HOUSE,NC,9,False,sep22,FiveThirtyEight (model),0.1824,Likely R,Lean D,-0.3260239132236019
2018,HOUSE,NC,10,False,sep22,FiveThirtyEight (model),0.00065,Safe R,Safe R,-18.585476659430395
2018,HOUSE,NC,11,False,sep22,FiveThirtyEight (model),0.0001,Safe R,Safe R,-20.88279234007877
2018,HOUSE,NC,12,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,46.145634059139205
2018,HOUSE,NC,13,False,sep22,FiveThirtyEight (model),0.1537,Likely R,Toss-up,-6.176161627789849
2018,HOUSE,ND,0,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-25.7159557713228
2018,HOUSE,NE,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-20.718456774611237
2018,HOUSE,NE,2,False,sep22,FiveThirtyEight (model),0.44995,Toss-up,Lean D,-1.9900597621586813
2018,HOUSE,NE,3,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-53.44297340884371
2018,HOUSE,NH,1,False,sep22,FiveThirtyEight (model),0.989,Safe D,Likely D,8.675404350250975
2018,HOUSE,NH,2,False,sep22,FiveThirtyEight (model),0.99995,Safe D,Safe D,13.67048597392335
2018,HOUSE,NJ,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,31.880503022410544
2018,HOUSE,NJ,2,False,sep22,FiveThirtyEight (model),0.9754,Safe D,Safe D,7.8165733915464735
2018,HOUSE,NJ,3,False,sep22,FiveThirtyEight (model),0.43455,Toss-up,Toss-up,1.3113379740108857
2018,HOUSE,NJ,4,False,sep22,FiveThirtyEight (model),0.00205,Safe R,Likely R,-12.524195134405913
2018,HOUSE,NJ,5,False,sep22,FiveThirtyEight (model),0.9924,Safe D,Safe D,13.865299310613464
2018,HOUSE,NJ,6,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,27.265082845453108
2018,HOUSE,NJ,7,False,sep22,FiveThirtyEight (model),0.7201,Lean D,Lean D,5.098026874783648
2018,HOUSE,NJ,8,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,61.34072648479873
2018,HOUSE,NJ,9,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,41.76338544235628
2018,HOUSE,NJ,10,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,79.33832709113608
2018,HOUSE,NJ,11,False,sep22,FiveThirtyEight (model),0.82485,Likely D,Lean D,14.800347493484496
2018,HOUSE,NJ,12,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,37.36225854383358
2018,HOUSE,NM,1,False,sep22,FiveThirtyEight (model),0.9997,Safe D,Safe D,23.89349276623655
2018,HOUSE,NM,2,False,sep22,FiveThirtyEight (model),0.2084,Lean R,Lean R,1.8679487694222507
2018,HOUSE,NM,3,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,34.00884176351737
2018,HOUSE,NV,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,36.3808105088533
2018,HOUSE,NV,2,False,sep22,FiveThirtyEight (model),0.02825,Safe R,Safe R,-16.461533646104677
2018,HOUSE,NV,3,False,sep22,FiveThirtyEight (model),0.821,Likely D,Lean D,9.567745243795814
2018,HOUSE,NV,4,False,sep22,FiveThirtyEight (model),0.9662,Safe D,Likely D,8.550576298340083
2018,HOUSE,NY,1,False,sep22,FiveThirtyEight (model),0.0572,Likely R,Likely R,-4.13305470043218
2018,HOUSE,NY,2,False,sep22,FiveThirtyEight (model),0.0465,Safe R,Likely R,-6.221802016985138
2018,HOUSE,NY,3,False,sep22,FiveThirtyEight (model),0.99905,Safe D,Safe D,17.957822976364387
2018,HOUSE,NY,4,False,sep22,FiveThirtyEight (model),0.9999,Safe D,Safe D,22.66921947206139
2018,HOUSE,NY,9,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,79.34234715056633
